NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
358,ESACYAN 50 PB,BASF AGRO S.P.A.,ESACLOROCICLOESANO (BHC),-
359,BAGNANTE EMULSOL,SIPCAM S.P.A.,-,-
360,BAGNANTE ADESIVO EMELFA,AVENTIS CROPSCIENCE ITALIA S.P.A.,-,-
361,BAGNANTE ANTISCHIUMA S,SIPCAM ITALIA S.P.A.,ALCOOL ISOTRIDECILICO|SILICONI,20.0 g|0.7 g
362,TREND 90,CHEMINOVA AGRO ITALIA S.R.L.,ISODECIL ALCOOL ETOSSILATO,90.0 g
363,CUPROZINEB 60/20,SOCHIMISI S.P.A.,ZINEB,-
364,C.Z. 6,S.A.R.I.A.F. S.P.A.,CAPTAN|ZINEB,20.0 g|40.0 g
365,CLORTOX 10 P,CAFFARO S.P.A.,CHLORDANE,-
367,DACOTHERM,INTERNAZIONALE B.P.D. S.R.L.,CHLOROTHALONIL,-
368,BRAVO WDG,SYNGENTA ITALIA S.P.A.,CHLOROTHALONIL,75.0 g
369,DACONIL 2787,INTERNAZIONALE B.P.D. S.R.L.,CHLOROTHALONIL,-
370,DIETAN P,SHELL ITALIA S.P.A.,PERTANE,-
371,DIETAN L,SHELL ITALIA S.P.A.,PERTANE,-
372,ETOL 20,SIVAM S.P.A.,ETHOATE-METHYL,-
375,EDABROM 750,DREYFUS GENTILI P.M.O. S.P.A.,"1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)|SIMAZINE",-
376,EPTACLOR 4 GRANULARE,INTERNAZIONALE B.P.D. S.R.L.,HEPTACHLOR,-
382,EXOTERM TERMIL,DOW AGROSCIENCES ITALIA S.R.L.,MANEB,-
383,FENOX,BASF AGRO S.P.A.,DINOCAP,20.0 g
384,FENSANE,BASF AGRO S.P.A.,FENITROTHION,48.0 g
385,FOLIMAT T,BAYER CROPSCIENCE S.R.L.,TETRADIFON|OMETHOATE,-
386,SOLFATO DI NICOTINA,FEDERAZIONE ITALIANA DEI CONSORZI AGRARI,NICOTINE,-
387,GABEROL PB 25,ISAGRO S.P.A.,DDT,-
388,LINDANO 25 EC,SYNGENTA ITALIA S.P.A.,LINDANE (LINDANO),-
389,MICROZOLFO BAYER,BAYER CROPSCIENCE S.R.L.,SULPHUR (ZOLFO),-
390,MINAR PB,AVENTIS CROPSCIENCE ITALIA S.P.A.,DICOFOL|DINOCAP,-
391,ACARIN,ADAMA ITALIA S.R.L.,DICOFOL,37.8 g
392,MONAM,FIVAT INDUSTRIA CHIMICA S.P.A.,METAM SODIUM,-
393,MD/E,AVENTIS CROPSCIENCE ITALIA S.P.A.,MALATHION|DIMETHOATE,-
394,OSSICLOR BLU,TECNITERRA S.R.L.,COPPER OXYCHLORIDE,30.0 g
396,M 55 BLU,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
397,MAISAR,S.A.R.I.A.F. S.P.A.,ATRAZINE,-
398,OMITE 30 W,ISAGRO S.P.A.,PROPARGITE,-
399,SANDOMIT,SYNGENTA ITALIA S.P.A.,AZINFOS METILE,-
400,PIRAL,GOWAN ITALIA S.R.L.,CARBARIL,5.0 g
401,PANAM 5 GRANULI,ISAGRO S.P.A.,CARBARIL,-
403,R6 ERRESEI M-50,BAYER CROPSCIENCE S.R.L.,MANCOZEB,50.0 g
404,ROGOR L 30,CHEMINOVA A/S,DIMETHOATE,28.5 g
405,ROGOR L 10,ISAGRO S.P.A.,DIMETHOATE,9.5 g
406,RAME OSSICLORURO MICRONIZZATO 50% CU,SOCHIMISI S.P.A.,COPPER OXYCHLORIDE,-
407,R6 ERRESEI-D,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|ZINEB,-
408,SILFUM,SIAPA S.R.L.,"1,3-DICHLOROPROPENE",92.0 g
409,SILLER,SIAPA S.R.L.,"2,4-D",33.0 g
410,SILCOL,SIAPA S.R.L.,SULPHUR (ZOLFO),50.0 g
411,ANTICERCOSPORA PASTA,SIAPA S.R.L.,FENTIN HYDROXIDE,19.0 g
412,STANOL 20,SYNGENTA ITALIA S.P.A.,FENTIN ACETATE,18.0 g
413,STANOL 30,SYNGENTA ITALIA S.P.A.,FENTIN ACETATE,27.0 g
414,THIOMETILAN,BAYER CROPSCIENCE S.R.L.,ENDOSULFAN|PARATHION-METHYL,28.0 g|12.0 g
415,TMDT CIBA 50,SYNGENTA ITALIA S.P.A.,THIRAM,48.0 g
416,GEDIT 50,TECNITERRA S.R.L.,DDT,-
417,GAMMADIT,TECNITERRA S.R.L.,LINDANE (LINDANO),-
420,TRIAZIN 50 WP,AVENTIS CROPSCIENCE ITALIA S.P.A.,SIMAZINE,-
421,LIQUIFOS M,SIAPA S.R.L.,PARATHION-METHYL,18.0 g
423,SILDIT 25,SILIA S.P.A.,DDT,-
424,SILNET,SIAPA S.R.L.,-,-
427,SILPTAN,SIAPA S.R.L.,CAPTAN,45.0 g
428,SILRIL,SIAPA S.R.L.,CARBARIL,49.0 g
429,SILRAM,SIAPA S.R.L.,COPPER OXYCHLORIDE|ZINEB,30.0 g|13.0 g
430,SILLOL P,SIAPA S.R.L.,PARAFFIN OIL/(CAS 8012-95-1)|PARATHION,85.0 g|3.0 g
431,SILMAL,SIAPA S.R.L.,MALATHION,50.0 g
432,SILZIN B,SIAPA S.R.L.,ZINEB,65.0 g
433,SILZIN,SIAPA S.R.L.,ZINEB,65.0 g
434,SILZIR 90,TAMINCO ITALIA S.R.L.,ZIRAM,85.5 g
435,CRITTAM GD 80,TAMINCO ITALIA S.R.L.,ZIRAM,76.0 g
436,SILZIN BS,SIAPA S.R.L.,ZINEB,80.0 g
438,SILSOL,SILIA S.P.A.,LINDANE (LINDANO),-
439,ZIRASAN 90 BLU,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZIRAM,-
440,ZINEB 77,CHIMIBERG S.R.L.,ZINEB,-
441,TYONAL 90,CHEMINOVA AGRO ITALIA S.R.L.,SULPHUR (ZOLFO),90.0 g
442,NABAM PB 80,ISAGRO S.P.A.,NABAM,-
443,NEMASAR,S.A.R.I.A.F. S.P.A.,"1,3-DICHLOROPROPENE|DICLOROPROPANO-1,2",-
445,TIOCUR SCAM 16% CU,SOCHIMISI S.P.A.,COPPER OXYCHLORIDE,-
447,SULDAN,CHEMINOVA AGRO ITALIA S.R.L.,ENDOSULFAN,33.0 g
448,SIVAMDOD,SIVAM S.P.A.,DODINE,65.0 g
449,MOCAP,AMVAC NETHERLANDS B.V.,ETHOPROPHOS,10.0 g
450,DICURAN 700 FW,SYNGENTA ITALIA S.P.A.,CHLOROTOLURON,59.1 g
451,ALDRIN 4 GRANULARE,SCAM S.P.A.,ALDRIN,-
452,SANAVIT,SCAM S.P.A.,FOLPET|COPPER OXYCHLORIDE|SULPHUR (ZOLFO),15.0 g|17.0 g|30.0 g
454,TECNOSAN 50,TECNITERRA S.R.L.,BINAPACRYL,-
455,SEVILAN,SCAM S.P.A.,CARBARIL,47.5 g
456,PYRAMIN,BASF A.G. (AKTIENGESELLSHAFT),CHLORIDAZON (AKA PYRAZONE),65.0 g
457,FITOSAN 50,SCAM S.P.A.,MALATHION,47.5 g
458,LANNATE 25,AVENTIS CROPSCIENCE ITALIA S.P.A.,METHOMYL,26.0 g
459,DODOSCAM,SCAM S.P.A.,DODINE,62.0 g
461,NF 178,SOLPLANT S.P.A.,ATRAZINE|LINURON,-
462,ANGUILEN,ISAGRO S.P.A.,THIONAZIN,-
463,CONTRAX,KEMIO,PYRANOCOUMARIN,0.0 g
464,REGRAN S,SIAPA S.R.L.,MCPA,21.0 g
465,SILMAIS,SILIA S.P.A.,ATRAZINE,-
466,THIONE 40 EL,CHEMIA S.P.A.,PARATHION,-
467,SILVID,SIAPA S.R.L.,"2,4-D",40.0 g
468,SILMAIS S,SILIA S.P.A.,ATRAZINE|SIMAZINE,-
469,ARETIT,AVENTIS CROPSCIENCE ITALIA S.P.A.,DINOSEB,-
470,ARNET,SIPCAM S.P.A.,ATRAZINE|DALAPON|SIMAZINE,-
471,EMELMINA,AVENTIS CROPSCIENCE ITALIA S.P.A.,DICHLORVOS,-
472,CYCLANITE,DU PONT DE NEMOURS ITALIANA S.R.L.,MONOLINURON|DICHLOBENIL,-
473,AGHERUD MCPA,DU PONT DE NEMOURS ITALIANA S.R.L.,MCPA,-
475,DISERBOL,BASF AGRO S.P.A.,SIMAZINE,49.0 g
477,ESSITOX 30 MCPA,TECNITERRA S.R.L.,MCPA,25.0 g
478,DISERMAIS A,SOLPLANT S.P.A.,ATRAZINE,-
479,DIPION E,SIPCAM S.P.A.,DICHLORPROP|DINITRAMINE,44.0 g|60.0 g
480,BLOCCO DERATTIZZANTE STEININGER IDROFUGO,INTERNATIONAL P.B.I. S.P.A. (GIA' POOL BIOANALISIS,WARFARIN,-
481,DERATTIZZANTE STEININGER,INTERNATIONAL P.B.I. S.P.A. (GIA' POOL BIOANALISIS,WARFARIN,-
482,DEM 20,VALSELE S.P.A.,DEMETON-S-METHYL,-
483,DISERSORGO,SOLPLANT S.P.A.,ATRAZINE|SIMAZINE,-
484,EMELCAR 50,AVENTIS CROPSCIENCE ITALIA S.P.A.,CARBARIL,-
485,KENYATOX VERDE,COPYR S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,12.8 g|4.0 g
486,FERNIMINE,SOLPLANT S.P.A.,"2,4-D",-
487,ERBICIDA MD,SOLPLANT S.P.A.,MONOLINURON|DIURON,-
488,TRIMEC,SIPCAM S.P.A.,MECOPROP,32.0 g
489,TRIMEC A,SIPCAM S.P.A.,MECOPROP,34.0 g
490,TRIMEC AF,SIPCAM S.P.A.,MECOPROP,48.0 g
491,TRIMEC E,SIPCAM S.P.A.,MECOPROP,0.0 g
492,TRIBEL M,SIPCAM S.P.A.,MECOPROP|DICAMBA,30.0 g|5.0 g
493,DIPION S,SIPCAM S.P.A.,DICHLORPROP|DINITRAMINE,40.0 g|47.0 g
494,DIPION SP,SIPCAM S.P.A.,"DICHLORPROP|2,4-D",27.0 g|6.7 g
495,MALERBANE CMPP,CHIMIBERG S.R.L.,MECOPROP,-
496,ARETIT LIQUIDO,BASF ITALIA S.P.A.,DINOSEB,-
497,ARESIN,AVENTIS CROPSCIENCE ITALIA S.P.A.,MONOLINURON,48.0 g
498,AMIZINA,SIPCAM S.P.A.,SIMAZINE,50.0 g
500,AZIDAL,MARGESIN S.P.A.,AZINFOS METILE|LINDANE (LINDANO),-
502,AZOMID,BASF AGRO S.P.A.,MONOCROTOPHOS,20.0 g
503,BENLATE RAVIT,AVENTIS CROPSCIENCE ITALIA S.P.A.,BENOMYL,-
505,AFALON,AVENTIS CROPSCIENCE ITALIA S.P.A.,LINURON,-
506,A.B.C.,SIPCAM S.P.A.,DNOC,44.0 g
507,ENOVIT METIL,SIPCAM S.P.A.,THIOPHANATE-METHYL,70.0 g
509,HEDONAL DP,BAYER CROPSCIENCE S.R.L.,DICHLORPROP,55.0 g
510,SCIRPEX K,AVENTIS CROPSCIENCE ITALIA S.P.A.,MECOPROP,-
511,SCIRPEX MP,AVENTIS CROPSCIENCE ITALIA S.P.A.,MECOPROP,-
512,ERBITOX RISAIA M,SIAPA S.R.L.,MECOPROP,27.0 g
513,HERBIDAL RISO MP,AVENTIS CROPSCIENCE ITALIA S.P.A.,MECOPROP,-
514,HERBIDAL RISO K,AVENTIS CROPSCIENCE ITALIA S.P.A.,MECOPROP,-
515,FIVALIM SANIFLOR BLU,FIVAT INDUSTRIA CHIMICA S.P.A.,MANEB,-
516,FITOGAMMA 20 GRANULI,ISAGRO S.P.A.,LINDANE (LINDANO),-
517,ERISAN C,SCAM S.P.A.,DINOCAP,35.0 g
518,ERISAN PB,SCAM S.P.A.,DINOCAP,18.0 g
520,FONOFOS SCAM FRILON 5G,SCAM S.P.A.,FONOFOS,-
522,EMULSOL,SIPCAM S.P.A.,-,-
523,ARSENIATO,VALSELE S.P.A.,ARSENIC ANHYDRIDE (ANIDRIDE ARSENICA),-
524,ATRAB,BAYER CROPSCIENCE S.R.L.,ATRAZINE,-
525,ATRAB S,BAYER CROPSCIENCE S.R.L.,ATRAZINE|SIMAZINE,-
526,FOLPET RAMATO BLU BAYER,BAYER CROPSCIENCE S.R.L.,FOLPET|COPPER OXYCHLORIDE,-
527,CAMELOT,SIPCAM S.P.A.,DICAMBA,15.5 g
529,COMBAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,"MCPA|2,4-D",-
531,ARACNOL,CHIMIBERG S.R.L.,TETRADIFON,-
532,ALICEP,BASF A.G. (AKTIENGESELLSHAFT),CHLORBUFAM|CHLORIDAZON (AKA PYRAZONE),20.0 g|22.0 g
534,ALDRIN 5,VALSELE S.P.A.,ALDRIN,-
535,GEORT 50,EASTMAN ITALIA S.R.L.,METAM SODIUM,38.8 g
536,CURITZOL S,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),-
537,DERATTIZZANTE A NASTRO STEININGER IDROFUGO,INTERNATIONAL P.B.I. S.P.A. (GIA' POOL BIOANALISIS,WARFARIN,-
539,MICORAN,GUABER S.P.A.,FOLPET|COPPER OXYCHLORIDE,18.5 g|25.0 g
540,MICEB BLU,SIPCAM S.P.A.,ZIREB|MANEB,-
541,LINURON SC,SYNGENTA ITALIA S.P.A.,LINURON,43.0 g
542,LENTIMATE 40,AGROCHIMICA S.P.A.,DIMETHOATE,-
543,FUMOCIAN,ITALCHIMICA,SULPHUR (ZOLFO)|METHYLISOTHIOCYANATE,-
544,ZOLFO BAGNABILE 60,P.K. PLANT KEMICAL S.R.L.,SULPHUR (ZOLFO),-
545,TRITIL 10,ISAGRO S.P.A.,HEXACHLOROBENZENE,-
547,RAT'S WARFARIN AG,COPYR S.P.A.,WARFARIN,0.0 g
549,TELVAR,SOLPLANT S.P.A.,MONURON,-
550,GUPOL 25,P.K. PLANT KEMICAL S.R.L.,AZINFOS METILE,-
551,GUTEX,P.K. PLANT KEMICAL S.R.L.,AZINFOS ETILE,-
552,MINPHOS,NUOVE AZIENDE AGRARIE S.P.A.,DICHLORVOS,-
553,GUTAM,P.K. PLANT KEMICAL S.R.L.,AZINFOS METILE,-
554,GESAPRIM LIQUIDO,SYNGENTA ITALIA S.P.A.,ATRAZINE,-
555,MEFLAN,DU PONT DE NEMOURS ITALIANA S.R.L.,DICHLOBENIL|SIMAZINE,-
556,MANEB 80 SCAI,SOCHIMISI S.P.A.,MANEB,-
557,LASSO,SYNGENTA ITALIA S.P.A.,ALACLOR,-
558,IRAM,AGRIMIX S.R.L.,COPPER HYDROXIDE,50.0 g
559,KALIRAM,SYNGENTA ITALIA S.P.A.,COPPER OXYCHLORIDE,32.0 g
560,LINDANE CHEMIA,CHEMIA S.P.A.,LINDANE (LINDANO),-
561,ERISAN PS,CIFO S.R.L.,DINOCAP,1.0 g
562,ENOVIT P,SIPCAM S.P.A.,THIOPHANATE-METHYL,-
563,ENDOTER,AGRIPHAR ITALIA S.R.L.,ENDOSULFAN,33.0 g
565,FUMATHANE 510,EASTMAN ITALIA S.R.L.,METAM SODIUM,42.2 g
566,FRAMED,SUMITOMO CHEMICAL ITALIA S.R.L.,SIMAZINE,50.0 g
567,FENODENE 30,SIPCAM S.P.A.,MCPA,27.0 g
568,FENISTAR,SIPCAM S.P.A.,MECOPROP|DICAMBA,40.0 g|3.0 g
569,KUPROKALK-M,AGRONOVA S.R.L.,COPPER OXYCHLORIDE,-
570,LENTIZOLFO,AGROCHIMICA S.P.A.,SULPHUR (ZOLFO),79.2 g
571,METOSSI 50,NUOVE AZIENDE AGRARIE S.P.A.,METHOXYCHLOR,-
572,ATRIZAN S,VISPLANT CHIMIREN S.P.A.,ATRAZINE|SIMAZINE,24.0 g|36.0 g
573,ATRIZAN 50,VISPLANT CHIMIREN S.P.A.,ATRAZINE,-
574,GRAMOXONE WR (PRIGLONE),SYNGENTA ITALIA S.P.A.,DIQUAT (DIBROMIDE)|PARAQUAT,8.0 g|8.0 g
575,FOSDRIN 30 PB,SHELL ITALIA S.P.A.,MEVINPHOS,-
576,ERTOL,ISAGRO S.P.A.,DALAPON,85.0 g
577,ERBOGIL,AVENTIS CROPSCIENCE ITALIA S.P.A.,DNOC,-
578,GASOL DD,DU PONT DE NEMOURS ITALIANA S.R.L.,"1,3-DICHLOROPROPENE|DICLOROPROPANO-1,2",-
579,ETALDYN,AVENTIS CROPSCIENCE ITALIA S.P.A.,-,-
580,ERBICIDA SIAPA,SIAPA S.R.L.,SODIO CLORATO,85.0 g
581,ESPEROL,ISAGRO S.P.A.,METAM SODIUM,33.0 g
582,WEEDOL GRANULARE,SYNGENTA ITALIA S.P.A.,DIQUAT (DIBROMIDE)|PARAQUAT,3.0 g|3.0 g
583,ENDOVIS 35 PB,FIELD FARM S.R.L.,ENDOSULFAN,-
584,AZITION 25,AGRIPHAR ITALIA S.R.L.,AZINFOS METILE,25.0 g
585,AREB BLU,TECNITERRA S.R.L.,COPPER OXYCHLORIDE|ZINEB,16.0 g|24.0 g
586,ADIPLANT,BAYER CROPSCIENCE S.R.L.,-,-
587,BROMIL,DOW AGROSCIENCES ITALIA S.R.L.,BROMURO DI METILE,-
589,BILOBRAN,SYNGENTA ITALIA S.P.A.,MONOCROTOPHOS|DINOCAP|DODINE,-
590,EUPAREN R,BAYER CROPSCIENCE S.R.L.,DICHLOFLUANID|COPPER OXYCHLORIDE,30.0 g|0.0 g
591,BAYER 6353 B,BAYER CROPSCIENCE S.R.L.,DICHLOFLUANID|COPPER OXYCHLORIDE,-
593,ANTRACOL M BLU,BAYER CROPSCIENCE S.R.L.,CHINOMETHIONATE|PROPINEB,4.0 g|65.0 g
594,ALIPUR,BASF A.G. (AKTIENGESELLSHAFT),CYCLURON|CHLORBUFAM,16.0 g|11.0 g
595,MILAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,DAZOMET,99.0 g
596,AZITHION PB,SCAM S.P.A.,AZINFOS METILE,22.5 g
597,ALT-GREEN,SIAPA S.R.L.,SODIO CLORATO,85.0 g
598,ALVED 70,TECNITERRA S.R.L.,FOLPET|COPPER OXYCHLORIDE|ZINEB,23.0 g|10.0 g|19.0 g
599,ACUPRICO 76 WG,EASTMAN ITALIA S.R.L.,ZIRAM,76.0 g
600,PLICTRAN PB 50,DOW AGROSCIENCES ITALIA S.R.L.,CYHEXATIN,-
601,DECCO SCALD,UPL  ITALIA S.R.L.,DIPHENYLAMINE,-
602,FONOFOS CYANAMID DYFONATE 5 GRANULI,BASF AGRO S.P.A.,FONOFOS,5.0 g
603,CF 125,SOLPLANT S.P.A.,CHLORFLURENOL (CHLORFLURECOL),-
605,OXYCUR 30,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE,-
606,NUVAN 7 G,AMVAC CHEMICAL UK LIMITED,DICHLORVOS,7.3 g
607,ACARION 6-E,DU PONT DE NEMOURS ITALIANA S.R.L.,PROPARGITE,68.0 g
608,ONLY,DOW AGROSCIENCES ITALIA S.R.L.,CYHEXATIN,-
609,ORVAL 5 POLVERE,BASF AGRO S.P.A.,FOLPET,5.0 g
610,OXYCUR 30 BLU,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE,30.0 g
611,PERCLOR,AZIENDE AGRARIE TRENTO FITOFARMACI,LINDANE (LINDANO)|PARATHION-METHYL|DDD,-
612,RAGUMON PB 25,ISAGRO S.P.A.,AZINFOS METILE,25.0 g
613,P.Z.Z.,SOLPLANT S.P.A.,FOLPET|ZINEB|SULPHUR (ZOLFO),-
615,RISINA AVVELENATA SIAPA P,CAFFARO S.P.A.,PARATHION,3.0 g
619,VALGRAN,NUFARM ITALIA S.R.L.,MCPA,44.3 g
620,DALAPON BAYER,BAYER CROPSCIENCE S.R.L.,DALAPON,74.0 g
621,NEMACLOR,SCAM S.P.A.,"1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)",-
622,DOWPON S,DOW AGROSCIENCES ITALIA S.R.L.,DALAPON,-
623,DIVUTOX,AGRIPHAR ITALIA S.R.L.,DICHLORVOS,45.6 g
624,DISERBAX,SIPCAM S.P.A.,PARAQUAT,25.0 g
625,GRAMOXONE W,SYNGENTA ITALIA S.P.A.,PARAQUAT,200.0 g/l
626,DICLAN,SIPCAM S.P.A.,DIQUAT (DIBROMIDE),33.0 g
627,ERBICIDA PD,SOLPLANT S.P.A.,DIURON|PARAQUAT,-
628,GRAMOXONE 2,SOLPLANT S.P.A.,PARAQUAT,-
629,GRAMOXONE,SYNGENTA ITALIA S.P.A.,PARAQUAT,18.0 g
630,REGLONE W,SYNGENTA ITALIA S.P.A.,DIQUAT (DIBROMIDE),17.0 g
631,REGLONE,SOLPLANT S.P.A.,DIQUAT (DIBROMIDE),-
632,GRAMONOL,SOLPLANT S.P.A.,MONOLINURON|PARAQUAT,-
633,SECANTIN,DU PONT DE NEMOURS ITALIANA S.R.L.,PARAQUAT,18.0 g
634,K.G.,SOLPLANT S.P.A.,DIURON|PARAQUAT,-
635,CARBITAL,ITAL-AGRO S.R.L.,CARBARIL,49.0 g
637,CLORETIL,ITAL-AGRO S.R.L.,ATRAZINE,-
638,CER 50,SIPCAM S.P.A.,"2,4-D",38.0 g
639,CARBOVIS 5 GR,ITAL-AGRO S.R.L.,CARBARIL,5.0 g
640,CYCLANITE,AVENTIS CROPSCIENCE ITALIA S.P.A.,MONOLINURON|DICHLOBENIL,-
641,CASORON G,DU PONT DE NEMOURS ITALIANA S.R.L.,DICHLOBENIL,7.0 g
642,SISTAN,SOLPLANT S.P.A.,METAM SODIUM,-
643,SENAM BLU,ISAGRO S.P.A.,ZIREB,-
644,SILRIL 2,SIAPA S.R.L.,CARBARIL,2.0 g
645,SELENE B-80,SCAM S.P.A.,ZINEB,80.0 g
646,SELENE B/A 80,AGRIFARMAX DI R. BELLONI,ZINEB,80.0 g
647,SELENE A-80,SCAM S.P.A.,ZINEB,80.0 g
648,SEVILIND,TECNITERRA S.R.L.,CARBARIL,-
650,SIALAN 35 P.B.,SIAPA S.R.L.,ENDOSULFAN,33.0 g
651,SORKAX,INGEGNOLI F.LLI S.P.A.,SULPHUR (ZOLFO),5.0 g
652,ZIMAR T,SOLPLANT S.P.A.,THIRAM|ZIRAM,-
653,ZYNTEB BLU,SCAM S.P.A.,ZINEB,70.0 g
654,UROXONE,SOLPLANT S.P.A.,DIURON,-
655,UNDENE 2 POLVERE,BAYER CROPSCIENCE S.R.L.,PROPOXUR,-
656,ZOLFO BAGNABILE 80%,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
657,SUMIT 250 E.C.O.,SCAM S.P.A.,FENITROTHION,26.0 g
658,ZOLFO VENTILATO 50%,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
659,ZOLFO VENTILATO 96-99% S,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
662,SEVISOL 5 G,SOLPLANT S.P.A.,CARBARIL,-
663,SIALAN 35 EC,SIAPA S.R.L.,ENDOSULFAN,32.9 g
664,THION 80,P.K. PLANT KEMICAL S.R.L.,SULPHUR (ZOLFO),-
665,VISFENOL 20,VISPLANT CHIMIREN S.P.A.,FENTIN ACETATE,-
666,TRIDAN,AGRIPHAR ITALIA S.R.L.,FENTIN ACETATE,-
667,AGATAL,ISAGRO S.P.A.,FENTIN HYDROXIDE,18.0 g
668,TIAZIN BLU,ISAGRO S.P.A.,ZINEB|SULPHUR (ZOLFO),4.0 g|50.0 g
669,TIAZIN,ISAGRO S.P.A.,ZINEB|SULPHUR (ZOLFO),4.0 g|50.0 g
670,TECNICID,TECNITERRA S.R.L.,CARBARIL,47.5 g
671,TECNIFUM 100,TECNITERRA S.R.L.,"1,3-DICHLOROPROPENE|DICLOROPROPANO-1,2",-
672,T.M.T.D.,CHEMINOVA AGRO ITALIA S.R.L.,THIRAM,68.0 g
673,TIOFTAL,ISAGRO S.P.A.,FOLPET,45.0 g
674,CAPTAN K BAYER,BAYER CROPSCIENCE S.R.L.,CAPTAN|DINOCAP,-
676,FENODIT 44,SIPCAM S.P.A.,"2,4-D",32.5 g
677,LARIET,MONSANTO AGRICOLTURA ITALIA S.P.A.,ALACLOR,42.0 g
678,SIMAZOL,AGRIPHAR ITALIA S.R.L.,SIMAZINE,50.0 g
679,TOXER S,VISPLANT CHIMIREN S.P.A.,"2,4-D",-
680,BIDISIN,BAYER CROPSCIENCE S.R.L.,CHLORFENPROP-METHYL,-
681,SARVAP,GOWAN ITALIA S.R.L.,METAM SODIUM,33.0 g
682,MESUROL COMBI,BAYER CROPSCIENCE S.R.L.,CHINOMETHIONATE|METHIOCARB (AKA MERCAPTODIMETHUR),-
683,POLTIGLIA,MANICA S.P.A.,BORDEAUX MIXTURE,20.0 g
684,RAUS,DOMUSART BIOART D.B.M. S.A.S.,WARFARIN,-
685,BURCOP,IMEPIA,COPPER SULFATE,-
687,COLLOIDALE VESUVIO,INDUSTRIA CHIMICA DEL MEZZOGIORNO S.P.A.,SULPHUR (ZOLFO),-
689,SOMETAN,VISPLANT CHIMIREN S.P.A.,METAM SODIUM,-
691,SOLTHION 25 WP,SOLPLANT S.P.A.,AZINFOS METILE,-
692,SOLFUM 40,TECNITERRA S.R.L.,METAM SODIUM,32.7 g
696,ALDRIN T 4,AGRIPHAR ITALIA S.R.L.,ALDRIN,-
697,ASAR 80,ISAGRO S.P.A.,MANCOZEB,79.0 g
698,ARBOCIDE,AVENTIS CROPSCIENCE ITALIA S.P.A.,MANEB|ZINEB,-
699,ANTIMURINA AM,LIBCO,WARFARIN,-
700,ATRAZENE 80,BASF AGRO S.P.A.,ATRAZINE,-
701,DICARZOL,AVENTIS CROPSCIENCE ITALIA S.P.A.,FORMETANATE,25.0 g
702,BOTRICUR,AVENTIS CROPSCIENCE ITALIA S.P.A.,FOLPET|ZINEB,-
703,ZINEB RAMATO BLU BAYER,BAYER CROPSCIENCE S.R.L.,COPPER OXYCHLORIDE|ZINEB,-
704,ZINEB RAMATO BAYER,BAYER CROPSCIENCE S.R.L.,COPPER OXYCHLORIDE|ZINEB,-
705,FENTOL,BAYER CROPSCIENCE S.R.L.,FENTIN ACETATE,18.0 g
706,FENTOL 30,BAYER CROPSCIENCE S.R.L.,FENTIN ACETATE,-
707,BIETOSAN,CHEMIA S.P.A.,FENTIN ACETATE,20.0 g
708,PROSEVOR 85,AVENTIS CROPSCIENCE ITALIA S.P.A.,CARBARIL,-
709,PROSEVIT POLVERE,AVENTIS CROPSCIENCE ITALIA S.P.A.,CARBARIL|SULPHUR (ZOLFO),-
710,PROSEVIT SEVIN,AVENTIS CROPSCIENCE ITALIA S.P.A.,CARBARIL|SULPHUR (ZOLFO),-
711,ASAR,S.A.R.I.A.F. S.P.A.,MANCOZEB,-
712,DACOL L 20,CAFFARO S.P.A.,DIMETHOATE,-
713,LOVOZAL PB 20,FISONS ITALCHIMICI S.P.A.,FENAZAFLOR,-
714,NASIMAN 73,DREYFUS GENTILI P.M.O. S.P.A.,-,-
716,CURIT BLAU POLVERE,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
717,CURIT POLVERE,AVENTIS CROPSCIENCE ITALIA S.P.A.,ZINEB,-
720,CHEMYN P50,CHEMIA S.P.A.,CARBARIL,48.0 g
721,CARBOVIS P-5,SEPRAN S.A.S.,CARBARIL,5.0 g
723,RODAN L 30,MARGESIN S.P.A.,LINDANE (LINDANO),-
724,PERTIL,AGRIFARMAX DI R. BELLONI,METHOXYCHLOR|PARATHION,10.0 g|19.0 g
725,RISOGIL MP,AVENTIS CROPSCIENCE ITALIA S.P.A.,MECOPROP|MOLINATE,-
